tag,orig_file,gt_label
1,subtomo_0000.mrc,A
2,subtomo_0001.mrc,A
3,subtomo_0002.mrc,A
4,subtomo_0003.mrc,A
5,subtomo_0004.mrc,A
6,subtomo_0005.mrc,A
7,subtomo_0006.mrc,A
8,subtomo_0007.mrc,A
9,subtomo_0008.mrc,A
10,subtomo_0009.mrc,A
11,subtomo_0010.mrc,A
12,subtomo_0011.mrc,A
13,subtomo_0012.mrc,A
14,subtomo_0013.mrc,A
15,subtomo_0014.mrc,A
16,subtomo_0015.mrc,A
17,subtomo_0016.mrc,A
18,subtomo_0017.mrc,A
19,subtomo_0018.mrc,A
20,subtomo_0019.mrc,A
21,subtomo_0020.mrc,A
22,subtomo_0021.mrc,A
23,subtomo_0022.mrc,A
24,subtomo_0023.mrc,A
25,subtomo_0024.mrc,A
26,subtomo_0025.mrc,A
27,subtomo_0026.mrc,A
28,subtomo_0027.mrc,A
29,subtomo_0028.mrc,A
30,subtomo_0029.mrc,A
31,subtomo_0030.mrc,A
32,subtomo_0031.mrc,A
33,subtomo_0032.mrc,A
34,subtomo_0033.mrc,A
35,subtomo_0034.mrc,A
36,subtomo_0035.mrc,A
37,subtomo_0036.mrc,A
38,subtomo_0037.mrc,A
39,subtomo_0038.mrc,A
40,subtomo_0039.mrc,A
41,subtomo_0040.mrc,A
42,subtomo_0041.mrc,A
43,subtomo_0042.mrc,A
44,subtomo_0043.mrc,A
45,subtomo_0044.mrc,A
46,subtomo_0045.mrc,A
47,subtomo_0046.mrc,A
48,subtomo_0047.mrc,A
49,subtomo_0048.mrc,A
50,subtomo_0049.mrc,A
51,subtomo_0050.mrc,A
52,subtomo_0051.mrc,A
53,subtomo_0052.mrc,A
54,subtomo_0053.mrc,A
55,subtomo_0054.mrc,A
56,subtomo_0055.mrc,A
57,subtomo_0056.mrc,A
58,subtomo_0057.mrc,A
59,subtomo_0058.mrc,A
60,subtomo_0059.mrc,A
61,subtomo_0060.mrc,A
62,subtomo_0061.mrc,A
63,subtomo_0062.mrc,A
64,subtomo_0063.mrc,A
65,subtomo_0064.mrc,A
66,subtomo_0065.mrc,A
67,subtomo_0066.mrc,A
68,subtomo_0067.mrc,A
69,subtomo_0068.mrc,A
70,subtomo_0069.mrc,A
71,subtomo_0070.mrc,A
72,subtomo_0071.mrc,A
73,subtomo_0072.mrc,A
74,subtomo_0073.mrc,A
75,subtomo_0074.mrc,A
76,subtomo_0075.mrc,A
77,subtomo_0076.mrc,A
78,subtomo_0077.mrc,A
79,subtomo_0078.mrc,A
80,subtomo_0079.mrc,A
81,subtomo_0080.mrc,A
82,subtomo_0081.mrc,A
83,subtomo_0082.mrc,A
84,subtomo_0083.mrc,A
85,subtomo_0084.mrc,A
86,subtomo_0085.mrc,A
87,subtomo_0086.mrc,A
88,subtomo_0087.mrc,A
89,subtomo_0088.mrc,A
90,subtomo_0089.mrc,A
91,subtomo_0090.mrc,A
92,subtomo_0091.mrc,A
93,subtomo_0092.mrc,A
94,subtomo_0093.mrc,A
95,subtomo_0094.mrc,A
96,subtomo_0095.mrc,A
97,subtomo_0096.mrc,A
98,subtomo_0097.mrc,A
99,subtomo_0098.mrc,A
100,subtomo_0099.mrc,A
101,subtomo_0100.mrc,A
102,subtomo_0101.mrc,A
103,subtomo_0102.mrc,A
104,subtomo_0103.mrc,A
105,subtomo_0104.mrc,A
106,subtomo_0105.mrc,A
107,subtomo_0106.mrc,A
108,subtomo_0107.mrc,A
109,subtomo_0108.mrc,A
110,subtomo_0109.mrc,A
111,subtomo_0110.mrc,A
112,subtomo_0111.mrc,A
113,subtomo_0112.mrc,A
114,subtomo_0113.mrc,A
115,subtomo_0114.mrc,A
116,subtomo_0115.mrc,A
117,subtomo_0116.mrc,A
118,subtomo_0117.mrc,A
119,subtomo_0118.mrc,A
120,subtomo_0119.mrc,A
121,subtomo_0120.mrc,A
122,subtomo_0121.mrc,A
123,subtomo_0122.mrc,A
124,subtomo_0123.mrc,A
125,subtomo_0124.mrc,A
126,subtomo_0125.mrc,A
127,subtomo_0126.mrc,A
128,subtomo_0127.mrc,A
129,subtomo_0128.mrc,A
130,subtomo_0129.mrc,A
131,subtomo_0130.mrc,A
132,subtomo_0131.mrc,A
133,subtomo_0132.mrc,A
134,subtomo_0133.mrc,A
135,subtomo_0134.mrc,A
136,subtomo_0135.mrc,A
137,subtomo_0136.mrc,A
138,subtomo_0137.mrc,A
139,subtomo_0138.mrc,A
140,subtomo_0139.mrc,A
141,subtomo_0140.mrc,A
142,subtomo_0141.mrc,A
143,subtomo_0142.mrc,A
144,subtomo_0143.mrc,A
145,subtomo_0144.mrc,A
146,subtomo_0145.mrc,A
147,subtomo_0146.mrc,A
148,subtomo_0147.mrc,A
149,subtomo_0148.mrc,A
150,subtomo_0149.mrc,A
151,subtomo_0150.mrc,A
152,subtomo_0151.mrc,A
153,subtomo_0152.mrc,A
154,subtomo_0153.mrc,A
155,subtomo_0154.mrc,A
156,subtomo_0155.mrc,A
157,subtomo_0156.mrc,A
158,subtomo_0157.mrc,A
159,subtomo_0158.mrc,A
160,subtomo_0159.mrc,A
161,subtomo_0160.mrc,A
162,subtomo_0161.mrc,A
163,subtomo_0162.mrc,A
164,subtomo_0163.mrc,A
165,subtomo_0164.mrc,A
166,subtomo_0165.mrc,A
167,subtomo_0166.mrc,A
168,subtomo_0167.mrc,A
169,subtomo_0168.mrc,A
170,subtomo_0169.mrc,A
171,subtomo_0170.mrc,A
172,subtomo_0171.mrc,A
173,subtomo_0172.mrc,A
174,subtomo_0173.mrc,A
175,subtomo_0174.mrc,A
176,subtomo_0175.mrc,A
177,subtomo_0176.mrc,A
178,subtomo_0177.mrc,C
179,subtomo_0178.mrc,C
180,subtomo_0179.mrc,C
181,subtomo_0180.mrc,C
182,subtomo_0181.mrc,C
183,subtomo_0182.mrc,C
184,subtomo_0183.mrc,C
185,subtomo_0184.mrc,C
186,subtomo_0185.mrc,C
187,subtomo_0186.mrc,C
188,subtomo_0187.mrc,C
189,subtomo_0188.mrc,C
190,subtomo_0189.mrc,C
191,subtomo_0190.mrc,C
192,subtomo_0191.mrc,C
193,subtomo_0192.mrc,C
194,subtomo_0193.mrc,C
195,subtomo_0194.mrc,C
196,subtomo_0195.mrc,C
197,subtomo_0196.mrc,C
198,subtomo_0197.mrc,C
199,subtomo_0198.mrc,C
200,subtomo_0199.mrc,C
201,subtomo_0200.mrc,C
202,subtomo_0201.mrc,C
203,subtomo_0202.mrc,C
204,subtomo_0203.mrc,C
205,subtomo_0204.mrc,C
206,subtomo_0205.mrc,C
207,subtomo_0206.mrc,C
208,subtomo_0207.mrc,C
209,subtomo_0208.mrc,C
210,subtomo_0209.mrc,C
211,subtomo_0210.mrc,C
212,subtomo_0211.mrc,C
213,subtomo_0212.mrc,C
214,subtomo_0213.mrc,C
215,subtomo_0214.mrc,C
216,subtomo_0215.mrc,C
217,subtomo_0216.mrc,C
218,subtomo_0217.mrc,C
219,subtomo_0218.mrc,C
220,subtomo_0219.mrc,C
221,subtomo_0220.mrc,C
222,subtomo_0221.mrc,C
223,subtomo_0222.mrc,C
224,subtomo_0223.mrc,C
225,subtomo_0224.mrc,C
226,subtomo_0225.mrc,C
227,subtomo_0226.mrc,C
228,subtomo_0227.mrc,C
229,subtomo_0228.mrc,C
230,subtomo_0229.mrc,C
231,subtomo_0230.mrc,C
232,subtomo_0231.mrc,C
233,subtomo_0232.mrc,C
234,subtomo_0233.mrc,C
235,subtomo_0234.mrc,C
236,subtomo_0235.mrc,C
237,subtomo_0236.mrc,C
238,subtomo_0237.mrc,C
239,subtomo_0238.mrc,C
240,subtomo_0239.mrc,C
241,subtomo_0240.mrc,C
242,subtomo_0241.mrc,C
243,subtomo_0242.mrc,C
244,subtomo_0243.mrc,C
245,subtomo_0244.mrc,C
246,subtomo_0245.mrc,C
247,subtomo_0246.mrc,C
248,subtomo_0247.mrc,C
249,subtomo_0248.mrc,C
250,subtomo_0249.mrc,C
251,subtomo_0250.mrc,C
252,subtomo_0251.mrc,C
253,subtomo_0252.mrc,C
254,subtomo_0253.mrc,C
255,subtomo_0254.mrc,C
256,subtomo_0255.mrc,C
257,subtomo_0256.mrc,C
258,subtomo_0257.mrc,C
259,subtomo_0258.mrc,C
260,subtomo_0259.mrc,C
261,subtomo_0260.mrc,C
262,subtomo_0261.mrc,C
263,subtomo_0262.mrc,C
264,subtomo_0263.mrc,C
265,subtomo_0264.mrc,C
266,subtomo_0265.mrc,C
267,subtomo_0266.mrc,C
268,subtomo_0267.mrc,C
269,subtomo_0268.mrc,C
270,subtomo_0269.mrc,C
271,subtomo_0270.mrc,C
272,subtomo_0271.mrc,C
273,subtomo_0272.mrc,C
274,subtomo_0273.mrc,C
275,subtomo_0274.mrc,C
276,subtomo_0275.mrc,C
277,subtomo_0276.mrc,C
278,subtomo_0277.mrc,C
279,subtomo_0278.mrc,C
280,subtomo_0279.mrc,C
281,subtomo_0280.mrc,C
282,subtomo_0281.mrc,C
283,subtomo_0282.mrc,C
284,subtomo_0283.mrc,C
285,subtomo_0284.mrc,C
286,subtomo_0285.mrc,C
287,subtomo_0286.mrc,C
288,subtomo_0287.mrc,C
289,subtomo_0288.mrc,C
290,subtomo_0289.mrc,C
291,subtomo_0290.mrc,C
292,subtomo_0291.mrc,C
293,subtomo_0292.mrc,C
294,subtomo_0293.mrc,C
295,subtomo_0294.mrc,C
296,subtomo_0295.mrc,C
297,subtomo_0296.mrc,C
298,subtomo_0297.mrc,C
299,subtomo_0298.mrc,C
300,subtomo_0299.mrc,C
301,subtomo_0300.mrc,C
302,subtomo_0301.mrc,C
303,subtomo_0302.mrc,C
304,subtomo_0303.mrc,C
305,subtomo_0304.mrc,C
306,subtomo_0305.mrc,C
307,subtomo_0306.mrc,C
308,subtomo_0307.mrc,C
309,subtomo_0308.mrc,C
310,subtomo_0309.mrc,C
311,subtomo_0310.mrc,C
312,subtomo_0311.mrc,C
313,subtomo_0312.mrc,C
314,subtomo_0313.mrc,C
315,subtomo_0314.mrc,C
316,subtomo_0315.mrc,C
317,subtomo_0316.mrc,C
318,subtomo_0317.mrc,C
319,subtomo_0318.mrc,C
320,subtomo_0319.mrc,C
321,subtomo_0320.mrc,C
322,subtomo_0321.mrc,C
323,subtomo_0322.mrc,C
324,subtomo_0323.mrc,C
325,subtomo_0324.mrc,C
326,subtomo_0325.mrc,C
327,subtomo_0326.mrc,C
328,subtomo_0327.mrc,C
329,subtomo_0328.mrc,C
330,subtomo_0329.mrc,C
331,subtomo_0330.mrc,C
332,subtomo_0331.mrc,C
333,subtomo_0332.mrc,C
334,subtomo_0333.mrc,C
335,subtomo_0334.mrc,C
336,subtomo_0335.mrc,C
337,subtomo_0336.mrc,C
338,subtomo_0337.mrc,C
339,subtomo_0338.mrc,C
340,subtomo_0339.mrc,C
341,subtomo_0340.mrc,C
342,subtomo_0341.mrc,C
343,subtomo_0342.mrc,C
344,subtomo_0343.mrc,C
345,subtomo_0344.mrc,C
346,subtomo_0345.mrc,C
347,subtomo_0346.mrc,C
348,subtomo_0347.mrc,C
349,subtomo_0348.mrc,C
350,subtomo_0349.mrc,C
351,subtomo_0350.mrc,C
352,subtomo_0351.mrc,C
353,subtomo_0352.mrc,C
354,subtomo_0353.mrc,C
