file,pred_label
subtomo_0000.mrc,2
subtomo_0001.mrc,1
subtomo_0002.mrc,1
subtomo_0003.mrc,1
subtomo_0004.mrc,1
subtomo_0005.mrc,1
subtomo_0006.mrc,2
subtomo_0007.mrc,1
subtomo_0008.mrc,1
subtomo_0009.mrc,2
subtomo_0010.mrc,2
subtomo_0011.mrc,1
subtomo_0012.mrc,1
subtomo_0013.mrc,1
subtomo_0014.mrc,1
subtomo_0015.mrc,1
subtomo_0016.mrc,2
subtomo_0017.mrc,1
subtomo_0018.mrc,2
subtomo_0019.mrc,1
subtomo_0020.mrc,2
subtomo_0021.mrc,1
subtomo_0022.mrc,2
subtomo_0023.mrc,2
subtomo_0024.mrc,2
subtomo_0025.mrc,1
subtomo_0026.mrc,1
subtomo_0027.mrc,2
subtomo_0028.mrc,2
subtomo_0029.mrc,1
subtomo_0030.mrc,1
subtomo_0031.mrc,2
subtomo_0032.mrc,2
subtomo_0033.mrc,1
subtomo_0034.mrc,1
subtomo_0035.mrc,1
subtomo_0036.mrc,1
subtomo_0037.mrc,2
subtomo_0038.mrc,2
subtomo_0039.mrc,1
subtomo_0040.mrc,1
subtomo_0041.mrc,2
subtomo_0042.mrc,1
subtomo_0043.mrc,2
subtomo_0044.mrc,2
subtomo_0045.mrc,1
subtomo_0046.mrc,2
subtomo_0047.mrc,1
subtomo_0048.mrc,2
subtomo_0049.mrc,1
subtomo_0050.mrc,1
subtomo_0051.mrc,2
subtomo_0052.mrc,2
subtomo_0053.mrc,2
subtomo_0054.mrc,2
subtomo_0055.mrc,2
subtomo_0056.mrc,2
subtomo_0057.mrc,1
subtomo_0058.mrc,1
subtomo_0059.mrc,1
subtomo_0060.mrc,2
subtomo_0061.mrc,1
subtomo_0062.mrc,1
subtomo_0063.mrc,2
subtomo_0064.mrc,1
subtomo_0065.mrc,1
subtomo_0066.mrc,2
subtomo_0067.mrc,2
subtomo_0068.mrc,1
subtomo_0069.mrc,2
subtomo_0070.mrc,2
subtomo_0071.mrc,1
subtomo_0072.mrc,1
subtomo_0073.mrc,2
subtomo_0074.mrc,1
subtomo_0075.mrc,2
subtomo_0076.mrc,2
subtomo_0077.mrc,2
subtomo_0078.mrc,1
subtomo_0079.mrc,1
subtomo_0080.mrc,2
subtomo_0081.mrc,2
subtomo_0082.mrc,2
subtomo_0083.mrc,1
subtomo_0084.mrc,2
subtomo_0085.mrc,1
subtomo_0086.mrc,2
subtomo_0087.mrc,2
subtomo_0088.mrc,2
subtomo_0089.mrc,2
subtomo_0090.mrc,1
subtomo_0091.mrc,2
subtomo_0092.mrc,1
subtomo_0093.mrc,1
subtomo_0094.mrc,2
subtomo_0095.mrc,2
subtomo_0096.mrc,1
subtomo_0097.mrc,2
subtomo_0098.mrc,2
subtomo_0099.mrc,1
subtomo_0100.mrc,2
subtomo_0101.mrc,1
subtomo_0102.mrc,2
subtomo_0103.mrc,1
subtomo_0104.mrc,1
subtomo_0105.mrc,2
subtomo_0106.mrc,1
subtomo_0107.mrc,1
subtomo_0108.mrc,2
subtomo_0109.mrc,2
subtomo_0110.mrc,1
subtomo_0111.mrc,1
subtomo_0112.mrc,2
subtomo_0113.mrc,2
subtomo_0114.mrc,2
subtomo_0115.mrc,2
subtomo_0116.mrc,1
subtomo_0117.mrc,1
subtomo_0118.mrc,2
subtomo_0119.mrc,2
subtomo_0120.mrc,2
subtomo_0121.mrc,2
subtomo_0122.mrc,1
subtomo_0123.mrc,2
subtomo_0124.mrc,2
subtomo_0125.mrc,2
subtomo_0126.mrc,1
subtomo_0127.mrc,1
subtomo_0128.mrc,2
subtomo_0129.mrc,2
subtomo_0130.mrc,2
subtomo_0131.mrc,1
subtomo_0132.mrc,1
subtomo_0133.mrc,1
subtomo_0134.mrc,2
subtomo_0135.mrc,2
subtomo_0136.mrc,2
subtomo_0137.mrc,1
subtomo_0138.mrc,1
subtomo_0139.mrc,2
subtomo_0140.mrc,1
subtomo_0141.mrc,1
subtomo_0142.mrc,1
subtomo_0143.mrc,2
subtomo_0144.mrc,2
subtomo_0145.mrc,2
subtomo_0146.mrc,2
subtomo_0147.mrc,2
subtomo_0148.mrc,2
subtomo_0149.mrc,2
subtomo_0150.mrc,1
subtomo_0151.mrc,2
subtomo_0152.mrc,2
subtomo_0153.mrc,1
subtomo_0154.mrc,2
subtomo_0155.mrc,1
subtomo_0156.mrc,1
subtomo_0157.mrc,2
subtomo_0158.mrc,1
subtomo_0159.mrc,2
subtomo_0160.mrc,2
subtomo_0161.mrc,2
subtomo_0162.mrc,1
subtomo_0163.mrc,2
subtomo_0164.mrc,2
subtomo_0165.mrc,2
subtomo_0166.mrc,1
subtomo_0167.mrc,2
subtomo_0168.mrc,1
subtomo_0169.mrc,2
subtomo_0170.mrc,1
subtomo_0171.mrc,2
subtomo_0172.mrc,1
subtomo_0173.mrc,1
subtomo_0174.mrc,1
subtomo_0175.mrc,1
subtomo_0176.mrc,1
subtomo_0177.mrc,1
subtomo_0178.mrc,2
subtomo_0179.mrc,1
subtomo_0180.mrc,1
subtomo_0181.mrc,2
subtomo_0182.mrc,2
subtomo_0183.mrc,2
subtomo_0184.mrc,1
subtomo_0185.mrc,2
subtomo_0186.mrc,2
subtomo_0187.mrc,1
subtomo_0188.mrc,1
